0,0,0,120,120,120,203,203,203,195,195,195,172,172,172,190,190,190,152,152,152
0,0,0,147,147,147,184,184,184,183,183,183,219,219,219,219,219,219,172,172,172
0,0,0,164,164,164,192,192,192,191,191,191,195,195,195,195,195,195,173,173,173
143,143,143,166,166,166,186,186,186,200,200,200,202,202,202,216,216,216,188,188,188
0,0,0,179,179,179,191,191,191,176,176,176,216,216,216,210,210,210,163,163,163
0,0,0,186,186,186,201,201,201,177,177,177,187,187,187,214,214,214,178,178,178
141,141,141,182,182,182,194,194,194,208,208,208,197,197,197,215,215,215,206,206,206
125,125,125,190,190,190,206,206,206,212,212,212,200,200,200,199,199,199,225,225,225
0,0,0,173,173,173,201,201,201,197,197,197,208,208,208,210,210,210,145,145,145
0,0,0,178,178,178,205,205,205,197,197,197,190,190,190,175,175,175,150,150,150
0,0,0,188,188,188,202,202,202,202,202,202,189,189,189,209,209,209,200,200,200
135,135,135,196,196,196,195,195,195,212,212,212,206,206,206,212,212,212,198,198,198
143,143,143,203,203,203,195,195,195,211,211,211,211,211,211,204,204,204,190,190,190
123,123,123,211,211,211,200,200,200,195,195,195,201,201,201,219,219,219,191,191,191
0,0,0,216,216,216,199,199,199,179,179,179,198,198,198,201,201,201,158,158,158
0,0,0,216,216,216,192,192,192,169,169,169,203,203,203,204,204,204,167,167,167
0,0,0,208,208,208,197,197,197,191,191,191,208,208,208,215,215,215,188,188,188
0,0,0,205,205,205,206,206,206,200,200,200,205,205,205,200,200,200,191,191,191
0,0,0,205,205,205,213,213,213,207,207,207,200,200,200,193,193,193,181,181,181
135,135,135,206,206,206,208,208,208,199,199,199,191,191,191,196,196,196,155,155,155
157,157,157,207,207,207,201,201,201,192,192,192,190,190,190,200,200,200,121,121,121
181,181,181,209,209,209,200,200,200,200,200,200,203,203,203,207,207,207,0,0,0
186,186,186,196,196,196,196,196,196,204,204,204,204,204,204,206,206,206,0,0,0
176,176,176,173,173,173,183,183,183,197,197,197,192,192,192,194,194,194,146,146,146
154,154,154,186,186,186,208,208,208,205,205,205,203,203,203,203,203,203,136,136,136
179,179,179,211,211,211,212,212,212,184,184,184,173,173,173,186,186,186,137,137,137
200,200,200,218,218,218,205,205,205,188,188,188,181,181,181,198,198,198,150,150,150
217,217,217,213,213,213,201,201,201,212,212,212,212,212,212,186,186,186,123,123,123
205,205,205,190,190,190,185,185,185,209,209,209,187,187,187,151,151,151,0,0,0
205,205,205,197,197,197,211,211,211,223,223,223,197,197,197,166,166,166,0,0,0
182,182,182,181,181,181,202,202,202,193,193,193,194,194,194,187,187,187,0,0,0
205,205,205,206,206,206,210,210,210,180,180,180,207,207,207,158,158,158,0,0,0
181,181,181,208,208,208,236,236,236,183,183,183,197,197,197,0,0,0,0,0,0
206,206,206,190,190,190,194,194,194,203,203,203,183,183,183,0,0,0,0,0,0
180,180,180,204,204,204,205,205,205,217,217,217,135,135,135,0,0,0,0,0,0
0,0,0,165,165,165,177,177,177,136,136,136,0,0,0,0,0,0,0,0,0
