134,134,134,219,219,219,163,163,163,0,0,0,0,0,0,0,0,0
157,157,157,238,238,238,234,234,234,157,157,157,0,0,0,0,0,0
151,151,151,185,185,185,213,213,213,185,185,185,0,0,0,0,0,0
129,129,129,179,179,179,217,217,217,203,203,203,0,0,0,0,0,0
0,0,0,182,182,182,235,235,235,202,202,202,139,139,139,0,0,0
0,0,0,145,145,145,205,205,205,192,192,192,190,190,190,0,0,0
0,0,0,0,0,0,191,191,191,164,164,164,173,173,173,0,0,0
0,0,0,149,149,149,204,204,204,207,207,207,180,180,180,0,0,0
0,0,0,144,144,144,210,210,210,215,215,215,196,196,196,0,0,0
0,0,0,147,147,147,210,210,210,215,215,215,207,207,207,0,0,0
0,0,0,152,152,152,213,213,213,212,212,212,214,214,214,123,123,123
0,0,0,145,145,145,220,220,220,208,208,208,221,221,221,129,129,129
0,0,0,140,140,140,222,222,222,200,200,200,222,222,222,133,133,133
0,0,0,142,142,142,224,224,224,197,197,197,224,224,224,136,136,136
0,0,0,146,146,146,227,227,227,202,202,202,236,236,236,144,144,144
0,0,0,124,124,124,215,215,215,207,207,207,214,214,214,138,138,138
0,0,0,0,0,0,230,230,230,200,200,200,218,218,218,166,166,166
0,0,0,178,178,178,232,232,232,188,188,188,208,208,208,165,165,165
0,0,0,166,166,166,229,229,229,192,192,192,206,206,206,135,135,135
0,0,0,134,134,134,222,222,222,212,212,212,217,217,217,0,0,0
0,0,0,150,150,150,205,205,205,212,212,212,216,216,216,0,0,0
0,0,0,145,145,145,206,206,206,201,201,201,204,204,204,138,138,138
0,0,0,156,156,156,228,228,228,203,203,203,200,200,200,171,171,171
0,0,0,162,162,162,218,218,218,232,232,232,218,218,218,176,176,176
0,0,0,124,124,124,200,200,200,205,205,205,191,191,191,170,170,170
0,0,0,0,0,0,204,204,204,207,207,207,192,192,192,190,190,190
0,0,0,0,0,0,202,202,202,208,208,208,191,191,191,190,190,190
0,0,0,148,148,148,205,205,205,213,213,213,199,199,199,181,181,181
0,0,0,181,181,181,224,224,224,225,225,225,216,216,216,180,180,180
0,0,0,155,155,155,227,227,227,210,210,210,206,206,206,163,163,163
0,0,0,0,0,0,228,228,228,195,195,195,196,196,196,155,155,155
0,0,0,128,128,128,229,229,229,176,176,176,220,220,220,185,185,185
0,0,0,143,143,143,239,239,239,199,199,199,222,222,222,152,152,152
0,0,0,148,148,148,227,227,227,208,208,208,221,221,221,0,0,0
0,0,0,136,136,136,191,191,191,202,202,202,215,215,215,0,0,0
0,0,0,0,0,0,189,189,189,195,195,195,212,212,212,137,137,137
0,0,0,0,0,0,208,208,208,184,184,184,201,201,201,186,186,186
0,0,0,0,0,0,213,213,213,192,192,192,193,193,193,186,186,186
0,0,0,0,0,0,211,211,211,210,210,210,199,199,199,159,159,159
0,0,0,133,133,133,193,193,193,194,194,194,212,212,212,187,187,187
0,0,0,137,137,137,196,196,196,191,191,191,207,207,207,184,184,184
0,0,0,142,142,142,217,217,217,204,204,204,212,212,212,196,196,196
0,0,0,161,161,161,200,200,200,177,177,177,191,191,191,190,190,190
0,0,0,184,184,184,216,216,216,186,186,186,194,194,194,195,195,195
0,0,0,177,177,177,236,236,236,206,206,206,203,203,203,193,193,193
0,0,0,163,163,163,206,206,206,182,182,182,186,186,186,171,171,171
0,0,0,164,164,164,205,205,205,192,192,192,204,204,204,186,186,186
0,0,0,185,185,185,218,218,218,204,204,204,201,201,201,187,187,187
0,0,0,145,145,145,211,211,211,187,187,187,189,189,189,167,167,167
0,0,0,140,140,140,232,232,232,207,207,207,203,203,203,134,134,134
0,0,0,0,0,0,215,215,215,210,210,210,209,209,209,0,0,0
0,0,0,0,0,0,192,192,192,202,202,202,211,211,211,0,0,0
0,0,0,0,0,0,195,195,195,206,206,206,206,206,206,0,0,0
0,0,0,0,0,0,163,163,163,194,194,194,178,178,178,0,0,0
0,0,0,0,0,0,0,0,0,175,175,175,163,163,163,0,0,0
0,0,0,0,0,0,0,0,0,152,152,152,0,0,0,0,0,0
