200,200,200,136,136,136,0,0,0,0,0,0,0,0,0
153,153,153,220,220,220,166,166,166,0,0,0,0,0,0
134,134,134,214,214,214,202,202,202,220,220,220,130,130,130
138,138,138,217,217,217,178,178,178,195,195,195,188,188,188
135,135,135,222,222,222,185,185,185,188,188,188,162,162,162
122,122,122,200,200,200,186,186,186,190,190,190,153,153,153
125,125,125,189,189,189,190,190,190,189,189,189,180,180,180
141,141,141,198,198,198,205,205,205,183,183,183,176,176,176
142,142,142,182,182,182,207,207,207,188,188,188,141,141,141
152,152,152,167,167,167,203,203,203,186,186,186,122,122,122
182,182,182,186,186,186,205,205,205,170,170,170,0,0,0
160,160,160,209,209,209,198,198,198,179,179,179,0,0,0
161,161,161,209,209,209,197,197,197,173,173,173,0,0,0
160,160,160,214,214,214,198,198,198,169,169,169,0,0,0
162,162,162,218,218,218,203,203,203,175,175,175,0,0,0
164,164,164,220,220,220,208,208,208,184,184,184,0,0,0
162,162,162,217,217,217,206,206,206,183,183,183,0,0,0
158,158,158,211,211,211,197,197,197,172,172,172,0,0,0
154,154,154,206,206,206,188,188,188,159,159,159,0,0,0
151,151,151,196,196,196,209,209,209,178,178,178,0,0,0
168,168,168,206,206,206,219,219,219,201,201,201,0,0,0
188,188,188,210,210,210,207,207,207,195,195,195,0,0,0
190,190,190,194,194,194,178,178,178,171,171,171,0,0,0
187,187,187,204,204,204,198,198,198,200,200,200,0,0,0
183,183,183,210,210,210,210,210,210,199,199,199,0,0,0
177,177,177,201,201,201,187,187,187,150,150,150,0,0,0
176,176,176,217,217,217,215,215,215,170,170,170,0,0,0
184,184,184,205,205,205,213,213,213,154,154,154,0,0,0
189,189,189,208,208,208,211,211,211,148,148,148,0,0,0
190,190,190,208,208,208,210,210,210,146,146,146,0,0,0
184,184,184,201,201,201,202,202,202,138,138,138,0,0,0
183,183,183,197,197,197,192,192,192,123,123,123,0,0,0
198,198,198,208,208,208,192,192,192,118,118,118,0,0,0
201,201,201,211,211,211,198,198,198,122,122,122,0,0,0
186,186,186,202,202,202,197,197,197,127,127,127,0,0,0
197,197,197,215,215,215,200,200,200,131,131,131,0,0,0
186,186,186,197,197,197,169,169,169,0,0,0,0,0,0
179,179,179,194,194,194,139,139,139,0,0,0,0,0,0
232,232,232,218,218,218,124,124,124,0,0,0,0,0,0
219,219,219,161,161,161,0,0,0,0,0,0,0,0,0
144,144,144,0,0,0,0,0,0,0,0,0,0,0,0
